Method,Path Pattern,Risk Category,What It Does,Response Contains
GET,/rest/events/session-started,NONE,Record session start,void
GET,/rest/credential-translation,NONE,Credential i18n,Translation JSON
GET,/rest/node-translation-headers,NONE,Node i18n headers,Headers JSON
GET,/rest/third-party-licenses/,NONE,Third-party licenses,License markdown text
POST,/rest/license/enterprise/request_trial,NONE,Request trial,void
POST,/rest/license/enterprise/community-registered,NONE,Register community,Registration result
GET,/rest/sso/saml/metadata,NONE,SAML SP metadata (public),XML metadata
GET,/rest/sso/saml/acs,NONE,SAML ACS (GET),Redirect/HTML
POST,/rest/sso/saml/acs,NONE,SAML ACS (POST),Redirect/HTML
GET,/rest/sso/saml/initsso,NONE,Initiate SAML SSO,Redirect
POST,/rest/sso/saml/config/test,NONE,Test SAML config,Redirect URL
GET,/rest/sso/oidc/login,NONE,OIDC login redirect,HTTP redirect
GET,/rest/sso/oidc/callback,NONE,OIDC callback,"Sets cookie, redirects"
GET,/rest/oauth1-credential/auth,NONE,OAuth1 auth URL,Authorization URL
GET,/rest/oauth1-credential/callback,NONE,OAuth1 callback,HTML template
GET,/rest/oauth2-credential/auth,NONE,OAuth2 auth URL,Authorization URL
GET,/rest/oauth2-credential/callback,NONE,OAuth2 callback,HTML template
POST,/rest/telemetry/proxy/:version/track,NONE,Telemetry proxy (no auth),Proxied response
POST,/rest/telemetry/proxy/:version/identify,NONE,Telemetry proxy (no auth),Proxied response
POST,/rest/telemetry/proxy/:version/page,NONE,Telemetry proxy (no auth),Proxied response
GET,/rest/telemetry/rudderstack/sourceConfig,NONE,RudderStack config (no auth),Config JSON
ALL,/rest/ph/*,NONE,PostHog proxy (no auth),Proxied response
GET,/rest/binary-data/signed,NONE,"Signed binary data (no auth, JWT required)",Binary stream
GET,/.well-known/oauth-authorization-server,NONE,OAuth metadata (no auth),OAuth metadata JSON
GET,/.well-known/oauth-protected-resource/mcp-server/http,NONE,Protected resource metadata,Resource metadata
ALL,/mcp-oauth/register,NONE,MCP OAuth registration,Client registration
ALL,/mcp-oauth/authorize,NONE,MCP OAuth authorization,Auth response
ALL,/mcp-oauth/token,NONE,MCP OAuth token exchange,Token response
ALL,/mcp-oauth/revoke,NONE,MCP OAuth revocation,Revocation response
HEAD,/mcp-server/http,NONE,MCP auth discovery,401 with WWW-Authenticate
POST,/mcp-server/http,NONE,MCP JSON-RPC (OAuth auth),JSON-RPC responses
GET,/rest/consent/details,NONE,OAuth consent details,"`{ clientName, clientId }`"
POST,/rest/consent/approve,NONE,OAuth consent approval,"`{ status, redirectUrl }`"
OPTIONS,/rest/credentials/:id/revoke,NONE,CORS preflight,Headers
DELETE,/rest/credentials/:id/revoke,NONE,Revoke dynamic credential (external auth),204
OPTIONS,/rest/credentials/:id/authorize,NONE,CORS preflight,Headers
POST,/rest/credentials/:id/authorize,NONE,Authorize dynamic credential (external auth),Auth URL
OPTIONS,/rest/workflows/:workflowId/execution-status,NONE,CORS preflight,Headers
GET,/rest/workflows/:workflowId/execution-status,NONE,Workflow execution readiness (external auth),Status + credential metadata
PATCH,/rest/e2e/feature,NONE,"Toggle E2E feature (no auth, E2E only)",void
PATCH,/rest/e2e/quota,NONE,"Set E2E quotas (no auth, E2E only)",void
PATCH,/rest/e2e/queue-mode,NONE,"Toggle E2E queue (no auth, E2E only)",Result
GET,/rest/e2e/env-feature-flags,NONE,"Get E2E flags (no auth, E2E only)",Flags
PATCH,/rest/e2e/env-feature-flags,NONE,"Set E2E flags (no auth, E2E only)",Result
POST,/rest/e2e/push,NONE,"E2E push (no auth, E2E only)",void
POST,/rest/e2e/gc,NONE,"E2E garbage collection (no auth, E2E only)",Result
